CLASIFICACIÓN,ALIMENTO,CANTIDAD,MEDIDA
CEREALES SIN GRASA,ARROZ COCIDO,0.25,TAZA
CEREALES SIN GRASA,AVENA,0.5,TAZA
CEREALES SIN GRASA,BOLILLO,0.33,PIEZA
CEREALES SIN GRASA,CAMOTE COCIDO,0.33,TAZA
CEREALES SIN GRASA,ELOTE ENLATADO,0.5,TAZA
CEREALES SIN GRASA,ESPAGUETI COCIDO,0.33,TAZA
CEREALES SIN GRASA,GALLETA MARÍA,5,PIEZA
CEREALES SIN GRASA,HABANERAS,4,GALLETA
CEREALES SIN GRASA,PALOMITAS NATURALES,2.5,TAZA
CEREALES SIN GRASA,PAN ÁRABE,0.33,PIEZA
CEREALES SIN GRASA,PAN TOSTADO,1,REBANADA
CEREALES SIN GRASA,PAPA COCIDA,0.5,PIEZA
CEREALES SIN GRASA,QUINOA,20,G
CEREALES SIN GRASA,TORTILLA DE MAÍZ,1,PIEZA
CEREALES SIN GRASA,TOSTADA DE MAÍZ HORNEADA,2,PIEZA
VERDURA,ACELGA,2,TAZA
VERDURA,APIO,0.75,TAZA
VERDURA,ARÚGULA.,4,TAZA
VERDURA,BETABEL CRUDO,0.25,PIEZA
VERDURA,BRÓCOLI COCIDO,0.5,TAZA
VERDURA,CALABACITA CRUDA,1,PIEZA
VERDURA,CHAMPIÑON COCIDO,0.5,TAZA
VERDURA,CHAYOTE COCIDO,0.5,TAZA
VERDURA,CHÍCHARO COCIDO,0.25,TAZA
VERDURA,CHILE POBLANO,0.5,PIEZA
VERDURA,COL MORADA,1,TAZA
VERDURA,COLIFLOR COCIDA,1,TAZA
VERDURA,EJOTES COCIDOS,0.5,TAZA
VERDURA,ESPÁRRAGOS,6,PIEZA
VERDURA,ESPINACA CRUDA,2,TAZA
VERDURA,JICAMA,0.5,TAZA
VERDURA,JITOMATE,120,GRAMOS
VERDURA,JITOMATE CHERRY,4,PIEZA
VERDURA,LECHUGA,3,TAZA
VERDURA,NOPAL COCIDO,1,TAZA
VERDURA,PEPINO REBANADO,1,TAZA
VERDURA,PEREJIL CRUDO,1,TAZA
VERDURA,PIMIENTO,1,PIEZA
VERDURA,RÁBANO,1,TAZA
VERDURA,TOMATE VERDE,5,PIEZA
VERDURA,ZANAHORIA RALLADA,0.5,TAZA
FRUTA,ARÁNDANO,1.5,TAZA
FRUTA,DÁTIL,2,PIEZA
FRUTA,DURAZNO AMARILLO,2,PIEZA
FRUTA,FRESA REBANADA,1,TAZA
FRUTA,GUAYABA,3,PIEZA
FRUTA,KIWI,1.5,PIEZA
FRUTA,LIMA,3,PIEZA
FRUTA,MAMEY,0.33,PIEZA
FRUTA,MANDARINA,2,PIEZA
FRUTA,MANGO PICADO,1,TAZA
FRUTA,MANZANA,1,PIEZA
FRUTA,MELÓN PICADO,1,TAZA
FRUTA,NARANJA,2,PIEZA
FRUTA,PAPAYA PICADA,1,TAZA
FRUTA,PERA,0.5,PIEZA
FRUTA,PIÑA PICADA,0.75,TAZA
FRUTA,PLÁTANO,0.5,PIEZA
FRUTA,SANDIA PICADA,1,TAZA
FRUTA,TORONJA,1,PIEZA
FRUTA,TUNA,2,PIEZA
FRUTA,UVA,1,TAZA
LEGUMINOSAS,FRIJOL COCIDO,0.5,TAZA
LEGUMINOSAS,GARBANZO COCIDO,0.5,TAZA
LEGUMINOSAS,HABA COCIDA,0.5,TAZA
LEGUMINOSAS,HUMMUS,5,CUCHARADA
LEGUMINOSAS,LENTEJA COCIDA,0.5,TAZA
LEGUMINOSAS,SOYA COCIDA,0.33,TAZA
LEGUMINOSAS,SOYA TEXTURIZADA,30,G
LECHE,LECHE LIGHT,1,TAZA
LECHE,YOGHUR NATURAL,0.75,TAZA
Proteína (muy bajo aporte de grasa),ATÚN EN AGUA DRENADO,0.33,LATA
Proteína (muy bajo aporte de grasa),ATÚN FRESCO,30,G
Proteína (muy bajo aporte de grasa),BISTEC DE RES,30,G
Proteína (muy bajo aporte de grasa),CABRITO,25,G
Proteína (muy bajo aporte de grasa),CAMARÓN COCIDO,5,PIEZA
Proteína (muy bajo aporte de grasa),CAMARÓN GIGANTE,2,PIEZA
Proteína (muy bajo aporte de grasa),CANGREJO COCIDO,40,G
Proteína (muy bajo aporte de grasa),CARNE MOLIDA DE PAVO,30,G
Proteína (muy bajo aporte de grasa),CARNE MOLIDA DE POLLO,30,G
Proteína (muy bajo aporte de grasa),CHARALES SECOS,15,G
Proteína (muy bajo aporte de grasa),CLARA DE HUEVO,2,PIEZA
Proteína (muy bajo aporte de grasa),FALDA DE RES,35,G
Proteína (muy bajo aporte de grasa),FILETE DE PESCADO,40,G
Proteína (muy bajo aporte de grasa),FILETE DE RES,30,G
Proteína (muy bajo aporte de grasa),MACIZA DE RES,25,G
Proteína (muy bajo aporte de grasa),MILANESA DE POLLO,30,G
Proteína (muy bajo aporte de grasa),MILANESA DE RES,30,G
Proteína (muy bajo aporte de grasa),MOLIDA DE POLLO,30,G
Proteína (muy bajo aporte de grasa),PECHUGA DE PAVO,1.5,REBANADA
Proteína (muy bajo aporte de grasa),PECHUGA DE POLLO SIN PIEL,30,G
Proteína (muy bajo aporte de grasa),PULPO COCIDO,25,G
Proteína (muy bajo aporte de grasa),QUESO COTTAGE,3,CUCHARADA
Proteína (muy bajo aporte de grasa),SALMÓN AHUMADO,35,G
Proteína (bajo aporte de grasa),ARRACHERA CRUDA,35,G
Proteína (bajo aporte de grasa),ATÚN EN ACEITE DRENADO,0.33,LATA
Proteína (bajo aporte de grasa),CARNE DE CERDO,40,G
Proteína (bajo aporte de grasa),CONEJO,40,G
Proteína (bajo aporte de grasa),FILETE DE CERDO,40,G
Proteína (bajo aporte de grasa),FILETE DE SALMÓN,30,G
Proteína (bajo aporte de grasa),PAVO,45,G
Proteína (bajo aporte de grasa),HÍGADO DE POLLO,30,G
Proteína (bajo aporte de grasa),HÍGADO DE RES,30,G
Proteína (bajo aporte de grasa),JAMÓN DE PAVO,2,REBANADA
Proteína (bajo aporte de grasa),JAMÓN DE PIERNA,2,REBANADA
Proteína (bajo aporte de grasa),MOLIDA DE RES,30,G
Proteína (bajo aporte de grasa),PECHUGA DE POLLO CON PIEL,35,G
Proteína (bajo aporte de grasa),QUESO FRESCO,40,G
Proteína (bajo aporte de grasa),QUESO DE CABRA,30,G
Proteína (bajo aporte de grasa),QUESO PANELA,40,G
Proteína (bajo aporte de grasa),SALMÓN FRESCO,30,G
Proteína (moderado aporte de grasa),CARNE DESHEBRADA,30,G
Proteína (moderado aporte de grasa),CHICHARRÓN DE CERDO,12,G
Proteína (moderado aporte de grasa),COSTILLAS DE CERDO,50,G
Proteína (moderado aporte de grasa),HUEVO,1,PIEZA
Proteína (moderado aporte de grasa),QUESO BLANCO,35,G
Proteína (moderado aporte de grasa),QUESO HOLANDÉS,20,G
Proteína (moderado aporte de grasa),QUESO MOZZARELLA,30,G
Proteína (moderado aporte de grasa),QUESO PARMENSANO,3.5,CUCHARADA
Proteína (moderado aporte de grasa),REQUESÓN,3.5,CUCHARADA
Proteína (moderado aporte de grasa),SARDINA,3,PIEZA
aceite con proteína,AJONJOLI,4,CUCHARADITA
aceite con proteína,ALMENDRAS,10,PIEZA
aceite con proteína,CACAHUATES SIN SAL,14,PIEZA
aceite con proteína,HARINA DE ALMENDRAS,11,G
aceite con proteína,NUEZ,3,PIEZA
aceite con proteína,PIÑÓN,1,CUCHARADA
aceite con proteína,CREMA DE CACAHUATE,2,CUCHARADITA
aceite con proteína,SEMILLA DE CALABAZA,1.5,CUCHARADA
aceite con proteína,SEMILLA DE CHÍA,5,CUCHARADITA
aceite con proteína,SEMILLA DE GIRASOL,4,CUCHARADITA
aceite sin proteína,MANTEQUILLA,1.5,CUCHARADITA
aceite sin proteína,MAYONESA,1,CUCHARADITA
aceite sin proteína,QUESO CREMA,1,CUCHARADA
aceite sin proteína,ACEITE,1,CUCHARADITA
aceite sin proteína,ACEITE EN SPRAY,5,DISP. DE UN SEGUNDO
aceite sin proteína,AGUACATE HASS,0.33,PIEZA
aceite sin proteína,CREMA,1,CUCHARADA
CEREALES SIN GRASA,  Sanissimo Rice Cake,2,piezas
