momento_dia,alimento,equivalente,cantidad,num_equivalentes,clasif equivalentes,
desayuno,Huevo,3 equivalentes de proteína animal con moderado aporte de grasa,3 piezas,3,Proteína (moderado aporte de grasa),Proteína (moderado aporte de grasa)
desayuno,Tortillas de maíz,2 equivalentes de cereales sin grasa,2 piezas,2,cereales sin grasa,CEREALES SIN GRASA
desayuno,Aceite,1 equivalente de aceite sin proteína,1 cucharadita,1,aceite sin proteína,aceite sin proteína
desayuno,Aguacate,1 equivalente de aceite sin proteína,⅓ pieza,1,aceite sin proteína,aceite sin proteína
desayuno,Jitomate,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
desayuno,Queso panela,1 equivalente de proteína animal con bajo aporte de grasa,40 gramos,1,Proteína (bajo aporte de grasa),Proteína (bajo aporte de grasa)
colación matutina,Avena en hojuelas,1 equivalente de cereal sin grasa,1/3 taza,1,CEREALES SIN GRASA,CEREALES SIN GRASA
colación matutina,Leche light,½ equivalente de leche descremada,1/2 taza,0.5,LECHE,LECHE
colación matutina,Manzana,1/2 equivalente de fruta,1/2 pieza,0.5,fruta,FRUTA
colación matutina,Nueces,1 equivalente de aceite con proteína,3 piezas,1,aceite con proteína,aceite con proteína
colación vespertina,Mango,1 equivalente de fruta,1 taza,1,fruta,FRUTA
colación vespertina,Semillas de chía,½ equivalente de aceite con proteína,2.5 cucharaditas,0.5,aceite con proteína,aceite con proteína
colación vespertina,Yoghurt,1 equivalente de leche descremada,¾ taza,1,LECHE,LECHE
cena,Tostada de maíz horneada,1 equivalentes de cereal sin grasa,2 piezas,1,CEREALES SIN GRASA,CEREALES SIN GRASA
cena,Lechuga,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
cena,Atún en agua,3 equivalentes de proteína animal con muy bajo aporte de grasa,1 lata,3,Proteína (muy bajo aporte de grasa),Proteína (muy bajo aporte de grasa)
cena,Requesón,1 equivalente de proteína animal con moderado aporte de grasa,3.5 cucharaditas,1,Proteína (moderado aporte de grasa),Proteína (moderado aporte de grasa)
cena,Pepino y cebolla,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
cena,Aceite de olivo,1 equivalente de aceite sin proteína,1 cucharadita,1,aceite sin proteína,aceite sin proteína
cena,Elote amarillo enlatado,1/2 equivalente de cereal sin grasa,1/4 taza,0.5,CEREALES SIN GRASA,CEREALES SIN GRASA
cena,Limón y jitomate,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
comida,Bistec de res,5.5 equivalentes de proteína animal con muy bajo aporte de grasa,165 gramos,5.5,Proteína (muy bajo aporte de grasa),Proteína (muy bajo aporte de grasa)
comida,Limón,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
comida,Cebolla y ajo,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
comida,zanahoria,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
comida,Calabacitas,1 equivalente de verdura,Al gusto,1,verdura,VERDURA
comida,Huevo,1 equivalente de proteína animal con moderado aporte de grasa,1 pieza,1,Proteína (moderado aporte de grasa),Proteína (moderado aporte de grasa)
comida,Arroz cocido,2 equivalentes de cereal sin grasa,. taza,2,CEREALES SIN GRASA,CEREALES SIN GRASA
comida,Aceite de olivo,1 equivalente de aceite sin proteína,1 cucharadita,1,aceite sin proteína,aceite sin proteína
