ALIMENTO,PESO_GRAMOS,CANTIDAD,MEDIDA,CLASIFICACIÓN
"Alegría (natural, tostada) ",23,23,g,CEREALES SIN GRASA
Amaranto (tostado) ,21,21,g,CEREALES SIN GRASA
Amatanth flakes ,18,0.5,taza,CEREALES SIN GRASA
"Arroz blanco, cocido ",50,0.25,taza,CEREALES SIN GRASA
Arroz inflado con cocoa ,17,17,g,CEREALES SIN GRASA
Arroz integral crudo ,20,1,taza,CEREALES SIN GRASA
"Arroz rojo de grano largo, cocido ",60,0.33,taza,CEREALES SIN GRASA
"Arroz rojo, cocido ",60,0.33,taza,CEREALES SIN GRASA
"Arroz salvaje, cocido ",70,0.5,taza,CEREALES SIN GRASA
Atole en sobre ,17,17,g,CEREALES SIN GRASA
Avena cruda ,20,0.5,taza,CEREALES SIN GRASA
Bagel de canela con pasas ,25,0.33,pieza,CEREALES SIN GRASA
Bagel de canela con pasas tostado ,25,0.33,pieza,CEREALES SIN GRASA
Bagel de salvado de avena ,30,0.33,pieza,CEREALES SIN GRASA
Bagel integral ,29,29,g,CEREALES SIN GRASA
Barra de cereal de arroz y de trigo ,20,1,taza,CEREALES SIN GRASA
Birote ,23,23,g,CEREALES SIN GRASA
Bisquet ,31,31,g,CEREALES SIN GRASA
Bolillo ,20,0.33,pieza,CEREALES SIN GRASA
"Brownie, preparado comercialmente ",23,23,g,CEREALES SIN GRASA
Camote cocido ,60,0.25,taza,CEREALES SIN GRASA
"Chips, queso nacho ",24,24,g,CEREALES SIN GRASA
Chuño negro ,19,19,g,CEREALES SIN GRASA
Crema de apio ,213,0.85,taza,CEREALES SIN GRASA
Crema de espárragos ,176,0.66,taza,CEREALES SIN GRASA
"Crema de pollo, enlatada, condensada ",209,0.75,taza,CEREALES SIN GRASA
Crepas ,34,34,g,CEREALES SIN GRASA
Croutones ,20,10,piezas,CEREALES SIN GRASA
Cuernito ,32,0.5,pieza,CEREALES SIN GRASA
Cuernito de  manzana ,40,40,g,CEREALES SIN GRASA
Cuerno ,28,0.33,pieza,CEREALES SIN GRASA
"Cuscús, cocido ",60,0.33,taza,CEREALES SIN GRASA
Elote ,83,0.5,taza,CEREALES SIN GRASA
Elote amarillo cocido ,46,0.25,taza,CEREALES SIN GRASA
Elote amarillo cocido con mantequilla ,69,1,pieza,CEREALES SIN GRASA
Espagueti cocido ,47,0.33,taza,CEREALES SIN GRASA
Fécula de maíz ,16,2,cucharadas,CEREALES SIN GRASA
Fideos cocidos ,60,0.33,taza,CEREALES SIN GRASA
Fideos cocidos sin sal ,60,0.33,taza,CEREALES SIN GRASA
"Fideos de arroz, cocidos ",60,0.33,taza,CEREALES SIN GRASA
Fideos elaborados con huevo ,60,0.33,taza,CEREALES SIN GRASA
Fideos japoneses cocidos ,60,0.33,taza,CEREALES SIN GRASA
Fusili cocido ,56,1,taza,CEREALES SIN GRASA
Galleta de avena ,22,1,pieza,CEREALES SIN GRASA
Galleta de salvado ,45,9,piezas,CEREALES SIN GRASA
Galleta integral ,21,3,piezas,CEREALES SIN GRASA
Galleta maría ,20,5,piezas,CEREALES SIN GRASA
Galleta para sopa ,20,10,piezas,CEREALES SIN GRASA
Galleta salada ,20,4,piezas,CEREALES SIN GRASA
Galleta salada integral ,20,4,piezas,CEREALES SIN GRASA
Galletas de trigo ,22,11,piezas,CEREALES SIN GRASA
"Galletas, chocolate chip ",23,23,g,CEREALES SIN GRASA
Germen de trigo ,30,0.25,taza,CEREALES SIN GRASA
"Grano de amaranto, cocido ",80,0.33,taza,CEREALES SIN GRASA
Granola ,21,3,cucharadas,CEREALES SIN GRASA
Harina de cebada ,20,1,taza,CEREALES SIN GRASA
Harina de maíz ,20,2,cucharadas,CEREALES SIN GRASA
"Harina de maíz,  blanco ",20,0.2,taza,CEREALES SIN GRASA
"Harina de trigo, blanco ",20,0.2,taza,CEREALES SIN GRASA
Harina integral ,21,21,g,CEREALES SIN GRASA
Harina para hot cakes integrales ,22,0.5,pieza,CEREALES SIN GRASA
Hojuelas de maíz ,17,0.5,taza,CEREALES SIN GRASA
Hot cake mediano ,40,1,pieza,CEREALES SIN GRASA
Hotcake chico ,40,1,pieza,CEREALES SIN GRASA
Hotcake grande con 2 cucharaditas de margarina y jarabe ,30,0.33,pieza,CEREALES SIN GRASA
Kellogg all bran original ,20,0.33,taza,CEREALES SIN GRASA
"Kellogg, Berry Rice Krispies ",18,0.5,taza,CEREALES SIN GRASA
Kelloggs corn flakes ,19,0.75,taza,CEREALES SIN GRASA
Kelloggs Corn pops ,18,0.5,taza,CEREALES SIN GRASA
Kelloggs Granola sin  pasas ,18,0.5,taza,CEREALES SIN GRASA
Kelloggs honey crunch ,18,0.5,taza,CEREALES SIN GRASA
KELLOGGS Low Fat Granola with Raisins ,18,0.5,taza,CEREALES SIN GRASA
Kelloggs special K ,18,0.5,taza,CEREALES SIN GRASA
"Kellogs, special K ",18,0.5,taza,CEREALES SIN GRASA
Kellogss all bran extra fibra ,20,0.33,taza,CEREALES SIN GRASA
Koshñipa ,45,45,g,CEREALES SIN GRASA
